ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,PROMEDIO DIARIO EN HORAS,LATITUD,LONGITUD
97,VAUPÉS,97161,CARURÚ,97161000,2024,6,20522,5140.0,82.1,11.58,1.052762314,-71.33093035
97,VAUPÉS,97001,MITÚ,97001000,2024,6,1451772,366345.0,3028.54,24.0,1.06148231,-70.46688401
97,VAUPÉS,97666,TARAIRA,97666000,2024,6,34830,9545.0,130.33,12.26,-0.719822209,-69.90776202
99,VICHADA,99001,PUERTO CARREÑO,99001000,2024,6,2188361,673372.0,4794.24,23.56,5.836529669,-68.14122234
91,AMAZONAS,91001,LETICIA,91001000,2024,1,4059524,1044021.0,7581.08,24.0,-3.530058784,-70.04513691
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001,2024,5,18848,8450.0,105.92,7.4,0.647693081,-74.27235499
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150002,2024,5,4355,1963.0,40.0,4.21,0.647693081,-74.27235499
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,2024,5,8538,3679.0,34.37,12.26,1.308465061,-74.19746971
19,CAUCA,19318,GUAPI,19318008,2024,5,8580,3745.0,42.96,8.45,2.41326696,-77.69047531
19,CAUCA,19318,GUAPI,19318013,2024,5,10561,6131.0,52.54,8.27,2.41326696,-77.69047531
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,2024,5,7935,3763.0,36.0,10.36,2.95819877,-77.24212158
91,AMAZONAS,91001,LETICIA,91001000,2024,7,4175447,1065330.0,7823.49,24.0,-3.530058784,-70.04513691
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,2024,7,132554,42294.0,270.4,24.0,-3.631323222,-70.47199039
91,AMAZONAS,91798,TARAPACA (ANM),91798000,2024,7,26803,12169.0,101.43,10.17,-2.451794264,-70.00651535
88,ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA,88564,PROVIDENCIA,88564000,2024,7,1308682,275839.0,2229.81,24.0,13.3511096,-81.37388549
88,ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA,88001,SAN ANDRÉS,88001000,2024,7,20194952,5047981.0,33462.36,24.0,12.54311512,-81.71762382
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,2024,7,28683,13831.0,264.06,4.22,10.46343362,-75.45889915
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,2024,7,13868,4464.0,54.18,10.15,10.46343362,-75.45889915
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001,2024,7,11716,5089.0,104.75,4.3,0.647693081,-74.27235499
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150002,2024,7,3571,1667.0,40.64,3.42,0.647693081,-74.27235499
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,2024,7,2672,976.0,27.84,5.01,1.308465061,-74.19746971
19,CAUCA,19318,GUAPI,19318008,2024,7,4288,1882.0,45.28,4.08,2.41326696,-77.69047531
19,CAUCA,19318,GUAPI,19318013,2024,7,11284,6147.0,55.81,8.23,2.41326696,-77.69047531
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,2024,7,6151,2827.0,40.0,6.42,2.95819877,-77.24212158
19,CAUCA,19809,TIMBIQUÍ,19809014,2024,7,4464,1154.0,22.22,8.35,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809003,2024,7,5913,4186.0,29.88,7.45,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809007,2024,7,6046,4222.0,34.58,6.49,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809009,2024,7,3295,1109.0,19.8,6.32,2.699475127,-77.49131577
27,CHOCÓ,27006,ACANDÍ,27006000,2024,7,727226,207226.0,1561.12,19.03,8.383938499,-77.26560256
27,CHOCÓ,27006,ACANDÍ,27006003,2024,7,349527,110165.0,817.08,18.45,8.383938499,-77.26560256
27,CHOCÓ,27025,ALTO BAUDO,27025000,2024,7,46420,16571.0,139.57,17.51,5.636740989,-77.0842154
27,CHOCÓ,27075,BAHÍA SOLANO,27075000,2024,7,879191,232126.0,1579.16,23.47,6.162762775,-77.41653534
27,CHOCÓ,27075,BAHÍA SOLANO,27075002,2024,7,196222,66893.0,423.19,23.16,6.162762775,-77.41653534
27,CHOCÓ,27075,BAHÍA SOLANO,27075001,2024,7,60272,18844.0,130.01,22.1,6.162762775,-77.41653534
27,CHOCÓ,27077,BAJO BAUDÓ,27077905,2024,7,3622,1429.0,16.32,8.32,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077029,2024,7,730,302.0,7.29,4.44,4.492865435,-77.08271352
